prompt,response,instructions
"Player has 1451 hp and 57 mp. Enemy has 2278 hp and 456 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 4729 hp and 137 mp. Enemy has 222 hp and 696 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 1194 hp and 121 mp. Enemy has 2065 hp and 217 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 884 hp and 147 mp. Enemy has 423 hp and 533 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 3626 hp and 142 mp. Enemy has 4400 hp and 642 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 2477 hp and 94 mp. Enemy has 49 hp and 20 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 356 hp and 118 mp. Enemy has 1815 hp and 642 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],You should use [cura spell] to heal more HP.
"Player has 4170 hp and 144 mp. Enemy has 2176 hp and 408 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 20 hp and 73 mp. Enemy has 688 hp and 82 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 3789 hp and 11 mp. Enemy has 1537 hp and 612 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 541 hp and 46 mp. Enemy has 4136 hp and 662 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],You should use [cura spell] to heal more HP.
"Player has 3414 hp and 19 mp. Enemy has 4313 hp and 6 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 1235 hp and 88 mp. Enemy has 4481 hp and 497 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 2177 hp and 6 mp. Enemy has 1939 hp and 665 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [grenade] for more damage.
"Player has 798 hp and 96 mp. Enemy has 3323 hp and 664 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],You should use [cura spell] to heal more HP.
"Player has 1397 hp and 64 mp. Enemy has 1818 hp and 630 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 1597 hp and 54 mp. Enemy has 2025 hp and 753 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 1509 hp and 78 mp. Enemy has 3468 hp and 743 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 3050 hp and 81 mp. Enemy has 4583 hp and 674 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 3308 hp and 141 mp. Enemy has 4025 hp and 34 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 588 hp and 125 mp. Enemy has 1538 hp and 43 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],You should use [cura spell] to heal more HP.
"Player has 4695 hp and 96 mp. Enemy has 3515 hp and 517 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 1796 hp and 59 mp. Enemy has 4907 hp and 189 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 263 hp and 52 mp. Enemy has 4593 hp and 452 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],You should use [cura spell] to heal more HP.
"Player has 1177 hp and 22 mp. Enemy has 3843 hp and 674 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 2133 hp and 60 mp. Enemy has 2172 hp and 242 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 1938 hp and 128 mp. Enemy has 2491 hp and 652 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 1439 hp and 14 mp. Enemy has 3932 hp and 189 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 4938 hp and 77 mp. Enemy has 3000 hp and 398 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 3138 hp and 6 mp. Enemy has 3490 hp and 375 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [grenade] for more damage.
"Player has 3234 hp and 134 mp. Enemy has 455 hp and 323 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 4269 hp and 128 mp. Enemy has 1904 hp and 775 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 2502 hp and 72 mp. Enemy has 3004 hp and 190 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 4326 hp and 146 mp. Enemy has 2401 hp and 27 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 549 hp and 149 mp. Enemy has 4186 hp and 241 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [potion],You should use [cura spell] to heal more HP.
"Player has 2352 hp and 3 mp. Enemy has 1941 hp and 479 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 3777 hp and 72 mp. Enemy has 4958 hp and 158 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 1159 hp and 8 mp. Enemy has 1967 hp and 392 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [grenade] for more damage.
"Player has 4532 hp and 122 mp. Enemy has 2371 hp and 618 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 633 hp and 112 mp. Enemy has 4305 hp and 657 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],You should use [cura spell] to heal more HP.
"Player has 3422 hp and 67 mp. Enemy has 1041 hp and 60 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 4114 hp and 30 mp. Enemy has 2541 hp and 192 mp. Available actions: attack, fire spell, thunder spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [potion],Consider using [thunder spell] for more damage.
"Player has 2047 hp and 53 mp. Enemy has 118 hp and 24 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 3230 hp and 58 mp. Enemy has 630 hp and 175 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 514 hp and 95 mp. Enemy has 2842 hp and 69 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],You should use [cura spell] to heal more HP.
"Player has 96 hp and 81 mp. Enemy has 4226 hp and 290 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],You should use [cura spell] to heal more HP.
"Player has 3718 hp and 56 mp. Enemy has 4445 hp and 81 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 2349 hp and 113 mp. Enemy has 584 hp and 78 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 4919 hp and 72 mp. Enemy has 4266 hp and 683 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 1806 hp and 13 mp. Enemy has 3056 hp and 291 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 4408 hp and 57 mp. Enemy has 1102 hp and 296 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 4598 hp and 92 mp. Enemy has 793 hp and 497 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 3673 hp and 142 mp. Enemy has 796 hp and 717 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 3705 hp and 100 mp. Enemy has 4807 hp and 236 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 3370 hp and 35 mp. Enemy has 1536 hp and 461 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [blizzard spell] for more damage.
"Player has 3060 hp and 117 mp. Enemy has 4044 hp and 631 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 2545 hp and 124 mp. Enemy has 328 hp and 163 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 2695 hp and 73 mp. Enemy has 3809 hp and 74 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 1408 hp and 115 mp. Enemy has 3662 hp and 35 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 424 hp and 14 mp. Enemy has 3108 hp and 448 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],You should use a [potion] to heal.
"Player has 2514 hp and 71 mp. Enemy has 1658 hp and 739 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 2025 hp and 135 mp. Enemy has 1373 hp and 186 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 1506 hp and 144 mp. Enemy has 1761 hp and 633 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 223 hp and 123 mp. Enemy has 1853 hp and 8 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [potion],You should use [cura spell] to heal more HP.
"Player has 1691 hp and 88 mp. Enemy has 1955 hp and 599 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 1505 hp and 130 mp. Enemy has 4573 hp and 751 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 882 hp and 29 mp. Enemy has 1475 hp and 209 mp. Available actions: attack, fire spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [fire spell] for more damage.
"Player has 2671 hp and 47 mp. Enemy has 481 hp and 240 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 3657 hp and 33 mp. Enemy has 1921 hp and 32 mp. Available actions: attack, fire spell, thunder spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [thunder spell] for more damage.
"Player has 1305 hp and 114 mp. Enemy has 3838 hp and 365 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 455 hp and 47 mp. Enemy has 2708 hp and 573 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],You should use [cura spell] to heal more HP.
"Player has 5000 hp and 33 mp. Enemy has 3981 hp and 158 mp. Available actions: attack, fire spell, thunder spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [fire spell],Consider using [thunder spell] for more damage.
"Player has 1522 hp and 98 mp. Enemy has 3970 hp and 47 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 1331 hp and 148 mp. Enemy has 3764 hp and 746 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 4547 hp and 134 mp. Enemy has 928 hp and 610 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [thunder spell],Consider using [meteor spell] for more damage.
"Player has 1948 hp and 128 mp. Enemy has 2903 hp and 249 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 3936 hp and 68 mp. Enemy has 1953 hp and 35 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 4298 hp and 150 mp. Enemy has 616 hp and 711 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 725 hp and 100 mp. Enemy has 1357 hp and 783 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],You should use [cura spell] to heal more HP.
"Player has 262 hp and 89 mp. Enemy has 1215 hp and 379 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],You should use [cura spell] to heal more HP.
"Player has 2209 hp and 93 mp. Enemy has 914 hp and 572 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 2952 hp and 87 mp. Enemy has 2607 hp and 550 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 2329 hp and 148 mp. Enemy has 3481 hp and 6 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 3299 hp and 71 mp. Enemy has 747 hp and 214 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
"Player has 973 hp and 9 mp. Enemy has 1499 hp and 11 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 4388 hp and 73 mp. Enemy has 4046 hp and 494 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 3019 hp and 22 mp. Enemy has 475 hp and 741 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [potion],Consider using [grenade] for more damage.
"Player has 941 hp and 101 mp. Enemy has 3030 hp and 678 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 127 hp and 20 mp. Enemy has 930 hp and 216 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [grenade] for more damage.
"Player has 2907 hp and 41 mp. Enemy has 2779 hp and 460 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 129 hp and 143 mp. Enemy has 1333 hp and 68 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [elixer],You should use [cura spell] to heal more HP.
"Player has 3754 hp and 96 mp. Enemy has 2121 hp and 98 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 2809 hp and 68 mp. Enemy has 240 hp and 483 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 4275 hp and 102 mp. Enemy has 4734 hp and 269 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 3772 hp and 84 mp. Enemy has 4430 hp and 471 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 4775 hp and 101 mp. Enemy has 1181 hp and 504 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 812 hp and 22 mp. Enemy has 3794 hp and 640 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 4738 hp and 49 mp. Enemy has 1011 hp and 570 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 798 hp and 85 mp. Enemy has 827 hp and 770 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 174 hp and 11 mp. Enemy has 2858 hp and 704 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [attack],You should use [elixer] to fully restore health and MP.
"Player has 1885 hp and 148 mp. Enemy has 2773 hp and 621 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [potion],Consider using [meteor spell] for more damage.
"Player has 642 hp and 1 mp. Enemy has 3849 hp and 219 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],You should use [elixer] to fully restore health and MP.
"Player has 3070 hp and 144 mp. Enemy has 4827 hp and 616 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [fire spell],Consider using [meteor spell] for more damage.
"Player has 4288 hp and 8 mp. Enemy has 331 hp and 42 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [grenade] for more damage.
"Player has 2273 hp and 26 mp. Enemy has 799 hp and 756 mp. Available actions: attack, fire spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [fire spell] for more damage.
"Player has 4695 hp and 39 mp. Enemy has 964 hp and 390 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [blizzard spell] for more damage.
"Player has 1811 hp and 35 mp. Enemy has 3111 hp and 226 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [cura spell],Consider using [blizzard spell] for more damage.
"Player has 1895 hp and 52 mp. Enemy has 5000 hp and 739 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 2712 hp and 131 mp. Enemy has 2666 hp and 597 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 1901 hp and 141 mp. Enemy has 1885 hp and 741 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [meteor spell],Consider using [meteor spell] for more damage.
"Player has 4427 hp and 78 mp. Enemy has 3031 hp and 95 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [grenade],Consider using [meteor spell] for more damage.
"Player has 2511 hp and 59 mp. Enemy has 3889 hp and 508 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was attack.",The next action to take is [elixer],Consider using [meteor spell] for more damage.
"Player has 1852 hp and 2 mp. Enemy has 4141 hp and 441 mp. Available actions: attack, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [attack],Consider using [grenade] for more damage.
"Player has 3503 hp and 144 mp. Enemy has 262 hp and 529 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 160 hp and 142 mp. Enemy has 2441 hp and 631 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],You should use [cura spell] to heal more HP.
"Player has 295 hp and 147 mp. Enemy has 281 hp and 248 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [cura spell],Consider using [meteor spell] for more damage.
"Player has 952 hp and 87 mp. Enemy has 1653 hp and 418 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was fire spell.",The next action to take is [blizzard spell],Consider using [meteor spell] for more damage.
"Player has 3221 hp and 135 mp. Enemy has 1067 hp and 527 mp. Available actions: attack, fire spell, thunder spell, blizzard spell, meteor spell, cura spell, potion, grenade, elixer. Last enemy move was cura spell.",The next action to take is [attack],Consider using [meteor spell] for more damage.
